id,date,amount,label,category,source,status,comment,sharing_mode,account_id,period_id,created_at,updated_at
115,2026-05-14,193.50,Vir Inst Viande Et Pate,quotepart,csv_import,draft,"Fortuneo: Retraits, Chq. et Vir. / Virements",,5,,2026-05-24T12:19:29.782692,2026-05-25T12:48:49.292584
116,2026-02-24,185.28,CB Biocoop Le Relecq Kerh,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782693,2026-05-25T12:48:49.292585
117,2026-03-02,181.99,CB Graine De Bio Pont L Abbe,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782695,2026-05-25T12:48:49.292586
118,2026-04-22,156.44,CB Biocoop Le Relecq Kerh,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782696,2026-05-25T12:48:49.292586
119,2026-01-23,148.37,CB Kerbio Brest,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782697,2026-05-25T12:48:49.292587
120,2026-04-10,144.22,CB Kerbio Brest,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782698,2026-05-25T12:48:49.292587
121,2026-03-09,142.62,CB Biocoop Le Relecq Ker,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782700,2026-05-25T12:48:49.292588
122,2026-03-19,137.71,CB Kerbio Brest,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782701,2026-05-25T12:48:49.292588
123,2026-04-25,137.29,CB Leclerc Gouesnou Gouesnou,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782702,2026-05-25T12:48:49.292589
124,2026-04-02,133.00,CB Domaine Hermiton Montlaur En D,quotepart,csv_import,draft,Fortuneo: Loisirs & Sorties / Sports d'hiver,,5,,2026-05-24T12:19:29.782703,2026-05-25T12:48:49.292589
125,2026-02-12,132.49,CB Kerbio Brest,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782705,2026-05-25T12:48:49.292590
126,2026-02-20,123.74,CB Kerbio Brest,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782706,2026-05-25T12:48:49.292591
127,2026-01-09,122.84,CB Kerbio Brest,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782707,2026-05-25T12:48:49.292591
128,2026-02-23,120.84,CB Kingemballage Croissy Beaubo,50/50,csv_import,draft,Fortuneo: Loisirs & Sorties / Loisirs & Sorties - Autres,,5,,2026-05-24T12:19:29.782708,2026-05-25T12:48:49.292592
129,2026-01-29,120.33,CB Biocoop Le Relecq Kerh,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782710,2026-05-25T12:48:49.292592
130,2026-02-09,118.46,CB Kerbio Brest,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782711,2026-05-25T12:48:49.292593
131,2026-03-30,115.88,CB Biocoop Le Relecq Kerh,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782712,2026-05-25T12:48:49.292593
132,2026-03-26,115.46,CB Biocoop Le Relecq Kerh,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782713,2026-05-25T12:48:49.292594
133,2026-04-18,113.59,CB La Maison Du Pei Brest,quotepart,csv_import,draft,Fortuneo: Logement / Décoration,,5,,2026-05-24T12:19:29.782714,2026-05-25T12:48:49.292594
134,2026-01-19,111.86,CB Leclerc Gouesnou Gouesnou,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782716,2026-05-25T12:48:49.292595
135,2026-03-12,108.25,CB Biocoop Le Relecq Kerh,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782717,2026-05-25T12:48:49.292596
136,2026-01-14,107.86,CB Kerbio Brest,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782718,2026-05-25T12:48:49.292596
137,2026-04-15,102.73,CB Kerbio Brest,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782719,2026-05-25T12:48:49.292597
138,2026-01-17,102.28,CB Kerbio Brest,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782721,2026-05-25T12:48:49.292597
139,2026-01-02,101.50,Vir Inst Aquaself,quotepart,csv_import,draft,"Fortuneo: Retraits, Chq. et Vir. / Virements",,5,,2026-05-24T12:19:29.782722,2026-05-25T12:48:49.292598
140,2026-01-21,99.57,CB Biocoop Le Relecq Kerh,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782723,2026-05-25T12:48:49.292598
141,2026-05-09,91.19,CB Leclerc Le Relecq Kerh,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782724,2026-05-25T12:48:49.292599
142,2026-04-07,87.46,CB Kerbio St Renan,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782726,2026-05-25T12:48:49.292599
143,2026-03-16,81.86,CB Leclerc Le Relecq Ker,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782727,2026-05-25T12:48:49.292600
144,2026-03-16,80.59,CB Biocoop Le Relecq Ker,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782728,2026-05-25T12:48:49.292600
145,2026-05-19,80.00,CB Zettle_*racault Ploudalmezeau,quotepart,csv_import,draft,Fortuneo: Achats & Shopping / Livres,,5,,2026-05-24T12:19:29.782729,2026-05-25T12:48:19.647946
147,2026-05-06,75.47,CB Biocoop Le Relecq Kerh,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782731,2026-05-25T12:48:49.292601
148,2026-03-23,75.13,CB Kerbio R Droite Brest,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782733,2026-05-25T12:48:49.292602
149,2026-03-05,74.01,CB Biocoop Le Relecq Kerh,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782734,2026-05-25T12:48:49.292602
150,2026-02-07,71.44,CB Kerbio Brest,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782735,2026-05-25T12:48:49.292603
151,2026-01-07,69.44,CB Biocoop Le Relecq Ker,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782736,2026-05-25T12:48:49.292603
152,2026-02-14,65.42,CB Crowdfarming Madrid,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782737,2026-05-25T12:48:49.292604
153,2026-01-12,64.25,CB Domaine Hermiton Montlaur En D,quotepart,csv_import,draft,Fortuneo: Loisirs & Sorties / Sports d'hiver,,5,,2026-05-24T12:19:29.782739,2026-05-25T12:48:49.292604
154,2026-02-09,63.95,CB Mv Brest Kerga Brest,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782740,2026-05-25T12:48:49.292605
155,2026-04-13,63.39,CB Kerbio Brest,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782741,2026-05-25T12:48:49.292605
156,2026-05-16,61.70,CB Biocoop Plouzane,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782742,2026-05-25T12:48:49.292606
157,2026-02-13,58.85,CB Leclerc Le Relecq Kerh,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782743,2026-05-25T12:48:49.292606
158,2026-02-04,54.79,CB Biocoop Le Relecq Kerh,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782744,2026-05-25T12:48:49.292607
159,2026-03-14,52.55,CB Crowdfarming Madrid,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782746,2026-05-25T12:48:49.292607
160,2026-03-06,52.49,CB Mv Brest Kerga Brest,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782747,2026-05-25T12:48:49.292608
161,2026-05-19,51.20,CB Savez Vous Plan St Pol De Leon,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Restaurants,,5,,2026-05-24T12:19:29.782748,2026-05-25T12:48:49.292609
162,2026-05-11,50.80,CB Gie Douar Bev La Roche Mauri,quotepart,csv_import,draft,Fortuneo: Loisirs & Sorties / Loisirs & Sorties - Autres,,5,,2026-05-24T12:19:29.782749,2026-05-25T12:48:49.292609
163,2026-05-11,50.35,CB Biocoop Le Relecq Kerh,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782750,2026-05-25T12:48:49.292610
164,2026-03-31,42.58,CB Total Brest,quotepart,csv_import,draft,Fortuneo: Auto & Transports / Carburant,,5,,2026-05-24T12:19:29.782751,2026-05-25T12:48:49.292610
165,2026-02-02,39.90,CB Leclerc Le Relecq Ker,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782753,2026-05-25T12:48:49.292611
166,2026-02-02,39.19,CB Crowdfarming Madrid,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782754,2026-05-25T12:48:49.292611
167,2026-02-02,37.94,CB Crowdfarming Madrid,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782755,2026-05-25T12:48:49.292612
168,2026-04-01,36.11,CB Biocoop Le Relecq Kerh,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782756,2026-05-25T12:48:49.292612
169,2026-04-01,33.00,CB Sncf Voyageurs Paris,quotepart,csv_import,draft,Fortuneo: Auto & Transports / Billets de train,,5,,2026-05-24T12:19:29.782758,2026-05-25T12:48:49.292613
170,2026-03-28,32.65,CB Crowdfarming Madrid,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782759,2026-05-25T12:48:49.292613
172,2026-01-07,32.40,CB Leclerc Le Relecq Ker,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782761,2026-05-25T12:48:49.292614
173,2026-04-13,30.90,CB Zettle_*kerjean Brest,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Alimentation - Autres,,5,,2026-05-24T12:19:29.782762,2026-05-25T12:48:19.647950
174,2026-01-21,30.50,CB Hpy*kokopelli Le Mas D'azil,50/50,csv_import,draft,Fortuneo: Achats & Shopping / Cadeaux,,5,,2026-05-24T12:19:29.782763,2026-05-25T12:48:49.292614
175,2026-04-10,28.30,CB Crowdfarming Madrid,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782765,2026-05-25T12:48:49.292615
176,2026-03-31,27.01,CB Finis Terra Brest,quotepart,csv_import,draft,Fortuneo: Loisirs & Sorties / Sorties culturelles,,5,,2026-05-24T12:19:29.782766,2026-05-25T12:48:49.292615
178,2026-01-26,14.48,CB Brico Plougastel Da,quotepart,csv_import,draft,Fortuneo: Achats & Shopping / Achats & Shopping - Autres,,5,,2026-05-24T12:19:29.782768,2026-05-25T12:48:49.292616
179,2026-04-20,13.47,CB Bouchbiominou Plouzane,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782769,2026-05-25T12:48:49.292617
180,2026-04-04,13.19,CB Hostinger.com Larnaka,dette,csv_import,draft,Fortuneo: Dépenses pro / Services en ligne,,1,,2026-05-24T12:19:29.782771,2026-05-25T13:05:21.350518
181,2026-02-28,12.29,CB Leclerc Gouesnou Gouesnou,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782772,2026-05-25T12:48:49.292618
182,2026-03-11,2.90,Ann Carte La Fourche Rue Des Fre,quotepart,csv_import,draft,Fortuneo: Entrées d'argent / Remboursements,,5,,2026-05-24T12:19:29.782773,2026-05-25T12:48:49.292618
183,2026-04-03,8.10,Ann Carte La Fourche Seine Et Marn,quotepart,csv_import,draft,Fortuneo: Entrées d'argent / Remboursements,,5,,2026-05-24T12:19:29.782774,2026-05-25T12:48:49.292619
184,2026-04-28,100.00,Vir Virement Avec Fortuneo Compt,virement,csv_import,draft,Fortuneo: Entrées d'argent / Virements internes,,1,,2026-05-24T12:19:29.782775,2026-05-24T14:52:32.975248
185,2026-04-25,100.00,Vir Inst Madame Vasseur Alice,virement,csv_import,draft,Fortuneo: Entrées d'argent / Autres rentrées,,2,,2026-05-24T12:19:29.782776,2026-05-24T12:19:29.782777
186,2026-01-29,100.00,Vir Inst Madame Vasseur Alice,virement,csv_import,draft,Fortuneo: Entrées d'argent / Autres rentrées,,2,,2026-05-24T12:19:29.782778,2026-05-24T12:19:29.782778
187,2026-03-17,162.69,Ann Carte La Fourche Rue Des Fre,quotepart,csv_import,draft,Fortuneo: Entrées d'argent / Remboursements,,5,,2026-05-24T12:19:29.782779,2026-05-25T12:48:49.292619
188,2026-02-01,300.00,Vir Inst Madame Vasseur Alice,virement,csv_import,draft,Fortuneo: Entrées d'argent / Autres rentrées,,2,,2026-05-24T12:19:29.782780,2026-05-24T12:19:29.782781
189,2026-05-04,700.00,Vir Madame Vasseur Alice,virement,csv_import,draft,Fortuneo: Entrées d'argent / Remboursements,,2,,2026-05-24T12:19:29.782781,2026-05-24T12:19:29.782782
190,2026-04-30,700.00,Vir M Gourmelon Loic,virement,csv_import,draft,Fortuneo: Entrées d'argent / Remboursements,,1,,2026-05-24T12:19:29.782782,2026-05-24T12:19:29.782783
191,2026-04-02,700.00,Vir Madame Vasseur Alice,virement,csv_import,draft,Fortuneo: Entrées d'argent / Remboursements,,2,,2026-05-24T12:19:29.782784,2026-05-24T12:19:29.782784
192,2026-03-31,700.00,Vir M Gourmelon Loic,virement,csv_import,draft,Fortuneo: Entrées d'argent / Remboursements,,1,,2026-05-24T12:19:29.782785,2026-05-24T12:19:29.782785
193,2026-03-02,700.00,Vir Madame Vasseur Alice,virement,csv_import,draft,Fortuneo: Entrées d'argent / Remboursements,,2,,2026-05-24T12:19:29.782786,2026-05-24T12:19:29.782787
194,2026-03-02,700.00,Vir M Gourmelon Loic,virement,csv_import,draft,Fortuneo: Entrées d'argent / Remboursements,,1,,2026-05-24T12:19:29.782787,2026-05-24T12:19:29.782788
195,2026-02-02,700.00,Vir Madame Vasseur Alice,virement,csv_import,draft,Fortuneo: Entrées d'argent / Remboursements,,2,,2026-05-24T12:19:29.782789,2026-05-24T12:19:29.782789
196,2026-02-02,700.00,Vir M Gourmelon Loic,virement,csv_import,draft,Fortuneo: Entrées d'argent / Remboursements,,1,,2026-05-24T12:19:29.782790,2026-05-24T12:19:29.782790
199,2026-05-19,82.00,Biocoop,50/50,telegram,draft,,quotepart,1,,2026-05-24T12:23:08.056907,2026-07-11T14:25:27.945280
200,2026-05-14,55.00,Marche,50/50,telegram,draft,,quotepart,1,,2026-05-24T12:23:08.075668,2026-07-11T14:14:52.649718
201,2026-05-13,123.00,Biocoop,50/50,telegram,draft,,quotepart,1,,2026-05-24T12:23:08.093599,2026-07-11T14:25:27.945282
202,2026-04-23,12.00,Câble viriliseur,divers,telegram,draft,,quotepart,1,,2026-05-24T12:23:08.111796,2026-09-15T15:04:16.841769
203,2026-04-17,92.00,Biocoop,50/50,telegram,draft,,quotepart,1,,2026-05-24T12:23:08.130177,2026-07-11T14:25:27.945283
206,2026-03-27,62.00,BIOCOoop,divers,telegram,draft,,50/50,1,,2026-05-24T12:23:08.183008,2026-07-11T14:14:36.719425
207,2026-03-12,96.00,Courses,50/50,telegram,draft,,quotepart,1,,2026-05-24T12:23:08.200799,2026-07-11T14:14:52.649718
208,2026-02-27,85.00,euros,divers,telegram,draft,,50/50,1,,2026-05-24T12:23:08.218498,2026-07-11T14:14:36.719426
210,2026-01-31,167.00,Biocoop,50/50,telegram,draft,,quotepart,1,,2026-05-24T12:23:08.258570,2026-07-11T14:25:27.945283
211,2026-01-17,55.00,e (sans pinces et sushi,divers,telegram,draft,,50/50,1,,2026-05-24T12:23:08.275904,2026-07-11T14:14:36.719426
465,2026-01-02,14.00,crowdfarming,divers,telegram,draft,,quotepart,2,,2026-05-24T12:23:14.532080,2026-07-11T14:14:36.719426
588,2026-05-17,18.00,Tonio,divers,telegram,draft,,50/50,2,,2026-05-24T12:23:17.260733,2026-07-11T14:14:36.719426
589,2026-05-17,6.00,Shitaque,divers,telegram,draft,,50/50,2,,2026-05-24T12:23:17.285552,2026-07-11T14:14:36.719427
590,2026-05-17,10.00,Marché fromage,50/50,telegram,draft,,quotepart,2,,2026-05-24T12:23:17.305593,2026-07-11T14:14:52.649720
591,2026-05-14,42.00,Parapharmacie Lafayette,50/50,telegram,draft,,quotepart,2,,2026-05-24T12:23:17.324130,2026-07-11T14:14:52.649720
592,2026-05-14,423.00,La fourche,50/50,telegram,draft,,quotepart,2,,2026-05-24T12:23:17.341745,2026-07-11T14:25:27.945284
593,2026-05-14,15.00,Marché kerinou,50/50,telegram,draft,,quotepart,2,,2026-05-24T12:23:17.359520,2026-07-11T14:14:52.649721
594,2026-04-28,128.57,Kerbio,brico,telegram,draft,,quotepart,2,,2026-05-24T12:23:17.378476,2026-07-11T14:25:27.945285
595,2026-04-28,174.86,Poisson,50/50,telegram,draft,,quotepart,2,,2026-05-24T12:23:17.397808,2026-07-11T14:25:27.945285
596,2026-04-28,136.00,Salaire Carole,50/50,telegram,draft,,50/50,2,,2026-05-24T12:23:17.416030,2026-07-11T14:27:03.789081
597,2026-04-20,25.00,Marché kerinou Blons,50/50,telegram,draft,,quotepart,2,,2026-05-24T12:23:17.434545,2026-07-11T14:14:52.649721
598,2026-04-08,20.00,Leclerc,50/50,telegram,draft,,quotepart,2,,2026-05-24T12:23:17.454545,2026-07-11T14:14:52.649721
599,2026-04-08,40.00,Kerbio,brico,telegram,draft,,quotepart,2,,2026-05-24T12:23:17.473825,2026-07-11T14:25:27.945285
600,2026-03-29,216.10,Carole,50/50,telegram,draft,,50/50,2,,2026-05-24T12:23:17.491647,2026-07-11T14:27:03.789083
601,2026-02-28,109.00,Carole février,50/50,telegram,draft,,50/50,2,,2026-05-24T12:23:17.509743,2026-07-11T14:27:03.789083
602,2026-02-01,216.10,Carole janvier,50/50,telegram,draft,,50/50,2,,2026-05-24T12:23:17.528029,2026-07-11T14:27:03.789083
603,2026-01-18,165.52,Poisson,50/50,telegram,draft,,quotepart,2,,2026-05-24T12:23:17.545776,2026-07-11T14:25:27.945286
604,2026-01-17,15.00,Action,divers,telegram,draft,,quotepart,2,,2026-05-24T12:23:17.563894,2026-07-11T14:14:36.719429
605,2026-01-04,65.00,Alice Marché,50/50,telegram,draft,,quotepart,2,,2026-05-24T12:23:17.582207,2026-07-11T14:14:52.649721
606,2026-05-15,20.00,Pourboire menuisier,50/50,telegram,draft,,50/50,2,,2026-05-24T12:23:17.648772,2026-07-11T14:28:56.655142
607,2026-05-08,63.00,Hadenn,divers,telegram,draft,,50/50,2,,2026-05-24T12:23:17.669431,2026-07-11T14:14:36.719430
608,2026-04-28,33.56,Parapharmacie Leclerc,50/50,telegram,draft,,quotepart,2,,2026-05-24T12:23:17.688939,2026-07-11T14:14:52.649722
609,2026-04-21,11.45,Aromazone,50/50,telegram,draft,,50/50,2,,2026-05-24T12:23:17.708594,2026-07-11T14:25:27.945286
610,2026-04-18,57.84,Magasin vert,50/50,telegram,draft,,quotepart,2,,2026-05-24T12:23:17.727577,2026-07-11T14:25:27.945286
611,2026-04-10,19.00,Lidl,50/50,telegram,draft,,50/50,2,,2026-05-24T12:23:17.757794,2026-07-11T14:14:52.649722
612,2026-04-05,141.00,Pharmacie du bocage,50/50,telegram,draft,,quotepart,2,,2026-05-24T12:23:17.775527,2026-07-11T14:14:52.649722
613,2026-04-05,25.00,Hadenn,divers,telegram,draft,,50/50,2,,2026-05-24T12:23:17.793005,2026-07-11T14:14:36.719431
614,2026-03-13,53.00,Maison du bananier,divers,telegram,draft,,50/50,2,,2026-05-24T12:23:17.810427,2026-07-11T14:14:36.719431
615,2026-03-05,46.00,Easypharmacie,50/50,telegram,draft,,quotepart,2,,2026-05-24T12:23:17.828910,2026-07-11T14:14:52.649722
616,2026-02-22,145.00,vitamines Naturitas,50/50,telegram,draft,,50/50,2,,2026-05-24T12:23:17.846872,2026-07-11T14:25:27.945286
617,2026-02-22,39.00,terreau et engrais,50/50,telegram,draft,,50/50,2,,2026-05-24T12:23:17.864599,2026-07-11T14:14:52.649722
618,2026-02-21,50.00,plantes Plougonvelin,divers,telegram,draft,,50/50,2,,2026-05-24T12:23:17.883365,2026-07-11T14:14:36.719432
620,2026-02-16,259.00,Le loupp,divers,telegram,draft,,50/50,1,,2026-05-24T12:23:17.921013,2026-07-11T14:14:36.719432
621,2026-02-12,23.00,Pharmacie,50/50,telegram,draft,,quotepart,2,,2026-05-24T12:23:17.939183,2026-07-11T14:14:52.649723
622,2026-01-29,30.00,huiles essentielles et flacons pour tous,divers,telegram,draft,,quotepart,2,,2026-05-24T12:23:17.957810,2026-07-11T14:14:36.719433
623,2026-01-24,42.00,Pots,divers,telegram,draft,,50/50,2,,2026-05-24T12:23:17.975530,2026-07-11T14:14:36.719433
624,2026-01-21,35.00,savons,divers,telegram,draft,,50/50,2,,2026-05-24T12:23:17.992728,2026-07-11T14:14:36.719433
625,2026-01-21,10.00,Artemisia,divers,telegram,draft,,50/50,2,,2026-05-24T12:23:18.010091,2026-07-11T14:14:36.719433
627,2026-01-18,60.00,vitrine,divers,telegram,draft,,50/50,2,,2026-05-24T12:23:18.044939,2026-07-11T14:14:36.719433
